rank,season,combo_key,combo_url,blade,assist_blade,ratchet,bit,lock_chip,score,placements_1st,placements_2nd,placements_3rd,placements_4th,total_placements,win_rate,podium_rate
1,Season 2026,WizardRod|None|1-60|Hexa|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|Hexa|None?season=Season+2026,WizardRod,None,1-60,Hexa,None,16709,24,16,16,7,63,0.381,0.8889
2,Season 2026,SharkScale|None|1-70|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|1-70|LowRush|None?season=Season+2026,SharkScale,None,1-70,LowRush,None,7476,8,9,8,5,30,0.2667,0.8333
3,Season 2026,SilverWolf|None|9-60|FreeBall|None,https://beybladexmeta.com/combo/SilverWolf|None|9-60|FreeBall|None?season=Season+2026,SilverWolf,None,9-60,FreeBall,None,4423,6,3,3,2,14,0.4286,0.8571
4,Season 2026,SharkScale|None|3-60|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|3-60|LowRush|None?season=Season+2026,SharkScale,None,3-60,LowRush,None,3833,5,4,3,6,18,0.2778,0.6667
5,Season 2026,SilverWolf|None|9-70|FreeBall|None,https://beybladexmeta.com/combo/SilverWolf|None|9-70|FreeBall|None?season=Season+2026,SilverWolf,None,9-70,FreeBall,None,3468,3,6,3,3,15,0.2,0.8
6,Season 2026,CobaltDragoon|None|5-60|Elevate|None,https://beybladexmeta.com/combo/CobaltDragoon|None|5-60|Elevate|None?season=Season+2026,CobaltDragoon,None,5-60,Elevate,None,2760,3,5,2,2,12,0.25,0.8333
7,Season 2026,HoverWyvern|None|9-60|Kick|None,https://beybladexmeta.com/combo/HoverWyvern|None|9-60|Kick|None?season=Season+2026,HoverWyvern,None,9-60,Kick,None,2285,5,2,1,2,10,0.5,0.8
8,Season 2026,PhoenixWing|None|3-60|Rush|None,https://beybladexmeta.com/combo/PhoenixWing|None|3-60|Rush|None?season=Season+2026,PhoenixWing,None,3-60,Rush,None,2180,1,4,4,0,9,0.1111,1.0
9,Season 2026,CobaltDragoon|None|9-60|Elevate|None,https://beybladexmeta.com/combo/CobaltDragoon|None|9-60|Elevate|None?season=Season+2026,CobaltDragoon,None,9-60,Elevate,None,1681,2,2,0,0,4,0.5,1.0
10,Season 2026,WizardRod|None|1-60|Ball|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|Ball|None?season=Season+2026,WizardRod,None,1-60,Ball,None,1572,3,0,1,2,6,0.5,0.6667
11,Season 2026,WizardRod|None|9-60|Ball|None,https://beybladexmeta.com/combo/WizardRod|None|9-60|Ball|None?season=Season+2026,WizardRod,None,9-60,Ball,None,1481,0,3,3,1,7,0.0,0.8571
12,Season 2026,SharkScale|None|4-50|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|4-50|LowRush|None?season=Season+2026,SharkScale,None,4-50,LowRush,None,1162,2,1,1,1,5,0.4,0.8
